steps,avg_reward,collision_rate,episode_length
33000,32.29210499447798,0.0,40.0
33100,32.22546555427434,0.0,40.0
33200,33.41212905288003,0.0,40.0
33300,33.33210499554001,0.0,40.0
33400,33.03877166218765,0.0,40.0
33500,32.985438327811316,0.0,40.0
33600,33.03877166114465,0.0,40.0
33700,32.50543832781131,0.0,40.0
33800,33.01210499447799,0.0,40.0
33900,32.9854623861041,0.0,40.0
34000,32.25212905277076,0.0,40.0
34100,32.71879888760768,0.0,40.0
34200,32.01213270142181,0.0,40.0
34300,32.01213270142181,0.0,40.0
34400,32.49213222094101,0.0,40.0
34500,32.7454624413615,0.0,40.0
34600,32.01213270142181,0.0,40.0
34700,32.01213270142181,0.0,40.0
34800,32.29210499447798,0.0,40.0
34900,12.531867298578197,1.0,14.0
35000,32.172132701421795,0.0,40.0
35100,33.53138949983164,0.0,40.0
35200,12.531867298578197,1.0,14.0
35300,12.531867298578197,1.0,14.0
35400,12.531867298578197,1.0,14.0
35500,12.531867298578197,1.0,14.0
35600,12.531867298578197,1.0,14.0
35700,19.121200633008787,1.0,22.0
35800,4.827584591640057,1.0,6.0
35900,12.531867298578197,1.0,14.0
36000,12.531867298578197,1.0,14.0
36100,12.531867298578197,1.0,14.0
36200,12.531867298578197,1.0,14.0
36300,12.531867298578197,1.0,14.0
36400,12.531867298578197,1.0,14.0
36500,12.531867298578197,1.0,14.0
36600,12.531867298578197,1.0,14.0
36700,12.531867298578197,1.0,14.0
36800,12.531867298578197,1.0,14.0
36900,12.531867298578197,1.0,14.0
37000,12.531867298578197,1.0,14.0
37100,12.531867298578197,1.0,14.0
37200,12.531867298578197,1.0,14.0
37300,32.98546602642526,0.0,40.0
37400,12.531867298578197,1.0,14.0
37500,12.531867298578197,1.0,14.0
37600,12.531867298578197,1.0,14.0
37700,12.531867298578197,1.0,14.0
37800,12.531867298578197,1.0,14.0
37900,32.01213270142181,0.0,40.0
38000,12.531867298578197,1.0,14.0
38100,32.01213270142181,0.0,40.0
38200,12.531867298578197,1.0,14.0
38300,32.35879936808847,0.0,40.0
38400,34.57213228407192,0.0,40.0
38500,32.86546603475514,0.0,40.0
38600,32.73213222094101,0.0,40.0
38700,33.118795719437436,0.0,40.0
38800,32.78546244136148,0.0,40.0
38900,33.33210499447798,0.0,40.0
39000,33.065462441342454,0.0,40.0
39100,34.12997160585833,0.0,40.0
39200,33.70469608933446,0.0,40.0
39300,33.012106508913725,0.0,40.0
39400,33.224903679611344,0.0,40.0
39500,32.95877166114465,0.0,40.0
39600,32.51879571943743,0.0,40.0
39700,32.265462440264336,0.0,40.0
